Type,Title,Status,Author,Episode,Score /5,Buy? Own? Sell?,Fave?
Manhwa,Killing Stalking,Finished,Koogi,,⭐⭐⭐⭐,Not buying,No
Manhwa,Painter of the Night,Finished,Byeonduck,,⭐⭐⭐,Not buying,Yes
Manhwa,Blood Bank,Finished,Silb,,⭐⭐⭐,Not buying,No
Manga,Alice in the Country of Joker: Circus and Liar’s Game,Finished,"Mamenosuke Fujimaru, QuinRose",,⭐⭐⭐⭐,Owned,Yes
Manga,ANGEL/DUST,Finished,Aoi Nanase,,⭐⭐⭐,Owned,No
Webtoon,"It’s Mine ",Dropped,LuckS,11,⭐,Not buying,No
Webtoon,My Dear Cold-Blooded King,Dropped,lifelight,2,⭐,Not buying,No
Webtoon,True Beauty,Dropped,Yaongyi,66,⭐⭐,Not buying,No
Webtoon,Devil Number 4,Dropped,"jangjin, woombeee",,⭐⭐,,No
Webtoon,Sweet Home,On Hold,"Carnby Kim, Youngchan Hwang",16,,Not buying,No
Manga,Tokyo Ghoul,On Hold,Sui Ishida,,,Not buying,No
Webtoon,I’m the Grim Reaper,On Hold,GRAVEWEAVER,23,,Not buying,No
Manga,Black Butler,On Hold,Yana Toboso,,,Not buying,Yes
Webtoon,I Love Yoo,On Hold,Quimchee,,,,No
Manhwa,Viper,On Hold,"Anko, Mongya",,,Not buying,No
Manhua,FOG E-sports,To read,"Chibaofan Gongchang, Manman He Qi Duo, Suuygo",,,Not buying,
Webtoon,"Get Schooled ",To read,"GARAM HAN, Yongtaek Chae",,,Not buying,
Webtoon,Viral Hit,To read,"Kim Junghyun, Park Taejoon",,,Not buying,
Manhwa,Painter of the Night 2,To read,Byeonduck,,,Not buying,
Manhwa,BJ Alex,Reading,Mingwa,,⭐⭐⭐,Not buying,Yes
Webtoon,Age Matters,Reading,Enjelicious,,⭐⭐⭐,Not buying,Yes
Webtoon,Rotten,Reading,Goodguy,10,⭐⭐,Not buying,No
Webtoon,Let’s Play,Reading,Mongie,"(around pg. 155) 
182",⭐⭐,Not buying,Yes
Manhwa,Salad Days,Reading,Tang Liuzang,,⭐⭐⭐⭐⭐,Not buying,Yes
Webtoon,Eleceed,Reading,"Jeho Son, ZHENA",,,Not buying,
Manhwa,Wolf in the House,Reading,Park Jiyeon,"41, 11 (from a website)",⭐⭐⭐⭐,Not buying,Yes
Manhua,Cherry Blossoms After Winter,Reading,Bamwoo,,⭐⭐⭐⭐,Not buying,Yes
Manhwa,Love History Caused by Willful Negligence,Reading,"Ginjyo, Woojootokkang",,⭐⭐,Not buying,No
Webtoon,Lookism,Reading,Park Taejoon,starting to get pissed off at around 380,⭐⭐⭐⭐,Not buying,Yes
,,,,,,,
